research_team_id,rt_hypothesis,estimate,standard_error,t_value,stage,first_principle_component_team_quality,reproducibility_score,average_rating_by_peers_after_removing_peer_fixed_effect
AFES,1,-17.274,13.396,-1.2894894,1,1.569461214,0,2.007142857
AJRC,1,28.05,62.618,0.44795427,1,-0.63746597,1,-0.835714286
AMHC,1,3.859,5.1,0.75666666,1,-2.134056136,0.75,0.05
ANXH,1,-0.122,0.134,-0.91044778,1,2.018929983,1,-1.078571429
AOTG,1,-0.01,0.018,-0.55555558,1,-0.266172527,0,2.078571429
ASHN,1,-1.997,3.973,-0.50264281,1,1.419638291,0,-0.907142857
AXUO,1,-0.079,0.052,-1.5192307,1,2.018929983,1,1.321428571
BBDS,1,-6.737,7.899,-0.85289276,1,-2.134056136,0.75,-3.964285714
BCCY,1,1.15,4.041,0.28458303,1,0.471448408,1,-1.961111111
BCLX,1,0.038,0.009067,4.1910224,1,0.183296242,1,-0.028571429
BERH,1,-1.301,1.254,-1.0374801,1,0.610369759,0,2.207142857
BJMG,1,0.695,2.505,0.27744511,1,0.960314906,0.75,-1.626984127
BMGE,1,-0.456,2.224,-0.20503597,1,-1.375086905,1,-3.185714286
BMVK,1,5.967,3.695,1.614885,1,-2.433701982,1,-3.621428571
BUKS,1,-3.881,4.376,-0.88688302,1,-1.684587367,1,-3.357142857
BYCV,1,-54.455,40.07,-1.3589967,1,-0.875318835,1,-3.475396825
CBIP,1,-0.321,0.131,-2.4503818,1,0.16090099,1,-1.957142857
CBYS,1,-11.945,4.53,-2.6368654,1,-0.476149367,0.75,-0.413492063
CCPO,1,-4.699,0.613,-7.6655793,1,-0.298422395,1,-0.589285714
CGHP,1,-4.224,1.543,-2.7375243,1,2.018929983,1,2.567857143
CIIE,1,0.522,0.368,1.4184783,1,-0.565818373,0,-1.8
CKPF,1,-2.709,4.99,-0.54288578,1,0.958675842,1,1.407142857
CMMG,1,7.319,3.239,2.2596481,1,-0.63746597,0,-1.207142857
CNYO,1,0.825,0.016,51.5625,1,-0.62597229,0,-0.121428571
COQM,1,-1.852,0.943,-1.9639449,1,-1.075441059,1,-3.25
CUSM,1,-1.15,1.156,-0.99480969,1,-1.235118598,0,1.8
CVZM,1,20.216,12.512,1.6157289,1,-1.684587367,1,-2.192857143
CXHI,1,74491.116,74425.548,1.000881,1,1.419638291,0.75,-3.717857143
DBVU,1,-2.391,0.416,-5.7475963,1,1.408144611,1,2.214285714
DCJM,1,-7.162,312.759,-0.022899421,1,1.269815368,1,0.171428571
DEXO,1,0.147,0.551,0.26678765,1,-1.225263982,1,0.528571429
DQAG,1,2.19,0.569,3.8488576,1,-2.433701982,1,-0.514285714
DVAE,1,-10.821,19.572,-0.55288166,1,1.569461214,0.25,-2.514285714
EJWM,1,-0.316,0.648,-0.48765433,1,0.670523676,1,3.078571429
EONY,1,-4.216,3.547,-1.1886101,1,0.610369759,1,-0.807142857
EVGS,1,-0.036,0.286,-0.12587413,1,0.199706611,1,0.296428571
EZBJ,1,5.139,8.162,0.62962508,1,0.632765011,0,-1.171428571
EZRL,1,-1.988,0.619,-3.2116318,1,-2.295372739,1,-0.521428571
FFHG,1,-2.396,3.66,-0.65464479,1,2.018929983,1,-0.692857143
FFKM,1,0.696,2.353,0.29579261,1,0.033473319,0.75,1.507142857
